DISTRICT YEAR,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
KARNAL,1901,46,27.2,24.3,0,1.8,16,359.3,152.5,6.6,0,0,7.9,641.6,73.2,26.1,534.4,7.9
KARNAL,1902,0,2.5,2.8,12.4,15.2,129.1,286.3,308.1,34.1,35,0,0,825.5,2.5,30.4,757.6,35
KARNAL,1903,29.4,0,12.2,0,4.1,6.4,168.2,242.4,52.1,2.3,0,3,520.1,29.4,16.3,469.1,5.3
KARNAL,1904,15.2,0,63.5,0,92.2,34.3,279.5,226.9,90.7,6.4,3.8,41.9,854.4,15.2,155.7,631.4,52.1
KARNAL,1905,68.5,27.2,25.4,13.7,12.7,57.4,56.7,11.2,286.8,0,0,9.9,569.5,95.7,51.8,412.1,9.9
KARNAL,1906,11.9,125.8,50.5,0,0,57.1,250.4,142.5,159.4,0,0,0,797.6,137.7,50.5,609.4,0
KARNAL,1907,17.8,59.7,29.2,28.5,15.2,0,176.6,203.2,0,0,0,0,530.2,77.5,72.9,379.8,0
KARNAL,1908,77.5,36.8,0,26.2,26.2,0,193.4,589.4,0,0,6.9,0,956.4,114.3,52.4,782.8,6.9
KARNAL,1909,9.4,16.6,0,91.3,0,100.4,280,214.7,185.4,2.5,0,38.1,938.4,26,91.3,780.5,40.6
KARNAL,1910,,,,,,,,,,,,,,,,,
KARNAL,1911,151.6,2.5,72.4,0,0,48.3,43.6,44.5,268.3,20.8,120.7,0,772.7,154.1,72.4,404.7,141.5
KARNAL,1912,52.1,0,5.1,12.6,7.6,7.6,259.3,255.4,119.3,0,5.1,3.8,727.9,52.1,25.3,641.6,8.9
KARNAL,1913,3.8,44.5,47.1,2.5,47,114.3,120.6,231.2,58.4,0,0,17.8,687.2,48.3,96.6,524.5,17.8
KARNAL,1914,0,20.3,2.5,33,47.1,44.4,335.5,161.2,254,20.3,0,0,918.3,20.3,82.6,795.1,20.3
KARNAL,1915,59.2,67.1,25.4,2.5,29.2,5.1,147.2,118.1,305.8,29.2,0,0,788.8,126.3,57.1,576.2,29.2
KARNAL,1916,1.3,8.4,0,2,22.9,77.2,264.7,222.1,261.5,33.8,0,0,893.9,9.7,24.9,825.5,33.8
KARNAL,1917,6.4,9.6,2.8,24.6,19.4,89.2,205.5,199.7,192.4,137.7,0,14.3,901.6,16,46.8,686.8,152
KARNAL,1918,10.6,0,8.4,11.9,0,59.9,40.7,217.5,0,0,1.5,0,350.5,10.6,20.3,318.1,1.5
KARNAL,1919,70.3,2.8,9.4,1.3,7.6,6.6,228.7,281.9,65.6,0,0,20.1,694.3,73.1,18.3,582.8,20.1
KARNAL,1920,8.4,12.8,7.9,0,0,108.6,209.9,34.1,6.1,7.1,0,0,394.9,21.2,7.9,358.7,7.1
KARNAL,1921,40.4,1.3,0.3,3,0,20.3,153.7,174.5,164.7,57.4,0,0,615.6,41.7,3.3,513.2,57.4
KARNAL,1922,18,13.4,0,2.8,1.8,209.9,231.1,229.4,67.3,5.8,0,30.3,809.8,31.4,4.6,737.7,36.1
KARNAL,1923,10.9,61.7,1.3,0,22.6,0,340,304.7,26.6,14.7,0,52.6,835.1,72.6,23.9,671.3,67.3
KARNAL,1924,76.7,6.8,1.6,0,5.6,17.6,137.4,195.3,439.4,48.8,0,14,943.2,83.5,7.2,789.7,62.8
KARNAL,1925,33.3,0,0,8.6,15.8,374,433.5,134.7,0,0.5,23.7,0,1024.1,33.3,24.4,942.2,24.2
KARNAL,1926,7.6,19.1,55.6,14.7,19,21.5,221.9,229.2,54.4,0,4.1,0,647.1,26.7,89.3,527,4.1
KARNAL,1927,0,84.4,19.3,4.1,12,5.3,246.9,109.8,70.9,85.9,0,39.1,677.7,84.4,35.4,432.9,125
KARNAL,1928,57.6,50.9,0,2,8.1,23.9,155.1,149.6,51.3,0,35.3,11.4,545.2,108.5,10.1,379.9,46.7
KARNAL,1929,47.4,0,0,20,2.5,2.6,136.7,92.2,0.5,1.8,0,50.3,354,47.4,22.5,232,52.1
KARNAL,1930,42.4,6.9,0,3,0.8,85.1,252.4,55.6,37.1,0,0,0,483.3,49.3,3.8,430.2,0
KARNAL,1931,0,44.1,19.3,2.5,3,0,193.7,302.9,191.8,1.8,0,0,759.1,44.1,24.8,688.4,1.8
KARNAL,1932,0,4,52.1,4.8,1,24.6,250.6,181.7,228.4,0,0,48.3,795.5,4,57.9,685.3,48.3
KARNAL,1933,2.3,28.4,25.4,6.1,52,146.4,214.9,162.7,321.9,21,0,2,983.1,30.7,83.5,845.9,23
KARNAL,1934,27.9,8.1,44,1.6,3,21.9,443.6,280.9,32,0,0,6.6,869.6,36,48.6,778.4,6.6
KARNAL,1935,101.9,39.2,14.4,42.2,0,0,339,368.6,264.5,14.2,2.5,16.7,1203.2,141.1,56.6,972.1,33.4
KARNAL,1936,2,22.2,4.8,0,19.8,301.9,213.1,174,110.8,0,0,38.6,887.2,24.2,24.6,799.8,38.6
KARNAL,1937,0.5,109.9,2.3,42.1,3.6,34.5,153.6,33.9,255.8,0,0,25.6,661.8,110.4,48,477.8,25.6
KARNAL,1938,80,19.8,1.3,6.3,2.5,19.7,91.9,137.1,6.6,9.4,1.3,0,375.9,99.8,10.1,255.3,10.7
KARNAL,1939,2,58.3,11.5,0,0,143,99.8,29.5,44.7,0,0,0,388.8,60.3,11.5,317,0
KARNAL,1940,21.2,72.9,22.6,19.8,5.3,29.9,161.3,78.4,7.8,0,0,0.8,420,94.1,47.7,277.4,0.8
KARNAL,1941,65.8,14,2.5,0,18.1,136.5,86.3,177.4,45.5,0,0,6.3,552.4,79.8,20.6,445.7,6.3
KARNAL,1942,57.7,90.8,4.6,17.3,10.9,76.7,438.6,236.1,101.9,0,0,16.5,1051.1,148.5,32.8,853.3,16.5
KARNAL,1943,42.7,7.6,7.1,14.2,0,72.7,200.8,146.2,94.3,0,0,0,585.6,50.3,21.3,514,0
KARNAL,1944,29,83.8,18.3,55.9,0,65.7,227.2,106,102.9,6.4,0,0.5,695.7,112.8,74.2,501.8,6.9
KARNAL,1945,53.8,0,1.5,11.7,4.3,41.6,88.4,207.8,330.1,3.3,0,0,742.5,53.8,17.5,667.9,3.3
KARNAL,1946,0,21.8,6.3,29.2,20.8,132,105.6,113.7,15,25.9,1.5,6.9,478.7,21.8,56.3,366.3,34.3
KARNAL,1947,44.5,6.9,3.8,0,8.4,6.4,,95.6,543.5,0,0,0.8,,51.4,12.2,,0.8
KARNAL,1948,28.2,144,36.4,0,0,29.2,207.7,410.3,11.4,0,0,0,867.2,172.2,36.4,658.6,0
KARNAL,1949,0,31.1,2.8,0,6.1,19,400.8,89.6,138.5,1.9,0,0.6,690.5,31.1,8.9,647.9,2.5
KARNAL,1950,38.5,15.8,25.5,3.3,0,9.4,376.3,159.6,196.9,0,0,0.9,826.1,54.3,28.8,742.2,0.9
KARNAL,1951,23.5,0.4,36.4,11.2,42.8,8.1,83.1,132.5,93.1,0,19.1,0,450.3,23.9,90.5,316.8,19.1
KARNAL,1952,17,21.6,26.4,0,8.9,44,219.6,498,0,0,0,2.3,837.8,38.7,35.3,761.6,2.3
KARNAL,1953,46.1,3.3,0,23.6,0.4,128.8,319.6,106.4,90.3,5.8,0,6.3,730.6,49.4,24,645,12.2
KARNAL,1954,32.8,152.9,27,0,12,100.7,181.9,147.2,175.2,47.9,0,0,877.8,185.8,39.1,605,47.9
KARNAL,1955,87.2,6.4,4.3,26.3,11,41.1,75.9,207.2,242.9,221.2,0,0.4,923.8,93.6,41.5,567.1,221.6
KARNAL,1956,13.8,3,59.7,0.6,5.5,122.3,153.4,463.5,34.3,240.2,10.5,0,1106.8,16.8,65.8,773.4,250.8
KARNAL,1957,85.1,0,41.4,18.5,0,7.8,118.3,242.8,121.6,67.1,7.2,33.9,743.7,85.1,60,490.4,108.2
KARNAL,1958,23.7,0.6,10.8,0,13.8,1,153.6,178.1,303.1,39.7,0,26,750.5,24.4,24.6,635.8,65.8
KARNAL,1959,28.1,21.4,4.7,1.4,6.7,58.1,110.1,315.2,166.2,7.2,31.5,0,750.5,49.5,12.7,649.5,38.7
KARNAL,1960,47.3,0,21,3.4,1.5,73.3,193.3,218.5,9,41.3,0,11.9,620.6,47.3,26,494.1,53.2
KARNAL,1961,94.8,33.7,0,12.1,10,11.5,194.5,233.6,94.3,57.9,0,10.7,753.3,128.5,22.1,534,68.6
KARNAL,1962,26.8,20.6,13.9,0,3.2,3.5,163.3,241.3,390.9,0,12.9,25.2,901.5,47.4,17,799,38.1
KARNAL,1963,20.8,15.8,8.6,3.9,8.2,61.3,94.9,357.5,135.3,0,8.3,1,715.5,36.5,20.7,649,9.3
KARNAL,1964,14.1,0,0,0,12.9,44.6,423.8,272,164.8,0,0,15.8,947.9,14.1,12.9,905.1,15.8
KARNAL,1965,12.4,36.9,11.8,52.7,26.5,0,176.1,227.1,3.8,40.9,0,0,588.1,49.3,90.9,407,40.9
KARNAL,1966,,22,0.2,0,19.5,58.6,125.6,431.7,38.8,8,0,0,,,19.7,654.7,8
KARNAL,1967,0,0.2,67.6,0.2,4.9,6.4,209.7,561.5,39,10,1.1,66.7,967.3,0.2,72.7,816.6,77.8
KARNAL,1968,10.5,41.3,27.8,0,0,32,555.8,283.1,1,25.3,0,1.5,978.3,51.7,27.8,871.9,26.8
KARNAL,1969,6.2,18.8,20.3,0,15.9,19.9,110.2,167.2,127.6,0,0,0,486,25,36.2,424.9,0
KARNAL,1970,62.3,15.6,12.6,0,6.3,95.4,37.2,441.3,88.5,0,0,0,759.3,77.9,18.9,662.5,0
KARNAL,1971,6.7,,1.5,3.5,43,64.6,140.5,,80.7,9.1,0,0,,,48,,9.1
KARNAL,1972,3,25.5,8.8,24.5,0,46,319.3,375.6,5.4,26.1,55.5,1.8,891.5,28.5,33.3,746.3,83.4
KARNAL,1973,16.2,10,2.5,0,19.1,186.9,124.9,150.8,31.5,27,0,6,574.9,26.2,21.6,494.1,33
KARNAL,1974,0,0,0,0,0,50.8,213.5,224.3,0.3,27.6,0,23.1,539.5,0,0,488.9,50.7
KARNAL,1975,21.8,0.5,18.1,0,5.9,93.5,152,179.7,129.5,44.4,0,0,645.4,22.3,24,554.7,44.4
KARNAL,1976,0.5,29.8,33.7,0,10.5,93.4,183.9,322,54.5,0,0,3,731.4,30.3,44.2,653.9,3
KARNAL,1977,139,8,0,4.5,33,2,290,108,111,0,0,17.5,713,147,37.5,511,17.5
KARNAL,1978,0,22,84,0,1.5,56.3,188.5,173.6,169.5,0,0,0,695.3,22,85.5,587.8,0
KARNAL,1979,21.1,28.1,37,1.6,,25.4,144.4,28.3,12.4,2,0,6.5,,49.3,,210.5,8.5
KARNAL,1980,15.5,2.3,22,0.3,0,114.3,279.1,75.5,109,11,1.1,46,676,17.8,22.3,577.8,58.2
KARNAL,1981,49.5,9.6,42.8,3.5,10.8,12.5,386.2,53,27,0,69.5,4,668.3,59,57,478.7,73.5
KARNAL,1982,30,5.8,69,31.1,54.5,10.6,83.6,159.2,5.1,2.5,2,24,477.4,35.8,154.6,258.5,28.5
KARNAL,1983,109.5,3,6,94,9.5,15.6,174.4,433.5,75.4,0,0,9,930,112.5,109.5,699,9
KARNAL,1984,9,40,0,0,0,103.5,140,123,0,0,0,0,415.5,49,0,366.5,0
KARNAL,1985,0.5,0,0,9,0,17.6,209,131,15.5,68,0,30,480.6,0.5,9,373.1,98
KARNAL,1986,0,53,16.5,0,55,225,47,127,28,7,0,12,570.5,53,71.5,427,19
KARNAL,1987,9,27,15.5,0,68,111.5,24,94.5,10,0,0,17,376.5,36,83.5,240,17
KARNAL,1988,2.2,22.9,41,11,4,75.4,434,245.4,310.1,0,0,30.8,1176.7,25.1,56,1064.9,30.8
KARNAL,1989,42.7,1.3,7,0,0,62.5,132,267,13.3,0,3.5,39.5,568.8,44,7,474.8,43
KARNAL,1990,0,89.2,8.9,3.9,31.5,18,344,123.9,112.5,6.6,10.1,47,795.6,89.2,44.3,598.4,63.7
KARNAL,1991,0,16.5,4.4,13.1,13.3,95,6.2,192.9,46.1,0,2.5,21.6,411.6,16.5,30.8,340.2,24.1
KARNAL,1992,23.5,10,0,0,22,44,107.3,113.9,62.3,0,0,0,383,33.5,22,327.5,0
KARNAL,1993,5.2,14.5,62.2,7.8,21.7,30.2,294.6,7.4,122.8,0,0,0,566.5,19.7,91.8,455,0
KARNAL,1994,13.9,21,1.5,6,11.5,92.5,279.8,173.8,27.2,0,0,0,627.1,34.8,19,573.3,0
KARNAL,1995,84.5,15.3,6.5,2,0,96.5,122,291.5,147,0,0,0,765.3,99.8,8.5,657,0
KARNAL,1996,52.7,85.9,8,0,0,123,124.3,239,126.5,50,0,0,809.4,138.6,8,612.8,50
KARNAL,1997,0,2,15.5,37,58,100,123.5,221.5,17,39.5,12,34,660,2,110.5,462,85.5
KARNAL,1998,0,13,23,10.5,12,38.5,205,209.3,98,111,26,,,13,45.5,550.8,
KARNAL,1999,21,0,0,0,15,53.8,66.8,41.3,73.5,0,0,0,271.3,21,15,235.3,0
KARNAL,2000,36.5,49,0,0,11.5,79.2,169.3,122.5,2.5,0,0,0,470.5,85.5,11.5,373.5,0
KARNAL,2001,21.5,3.5,16,16,42.5,207,127,78.5,12,0,0,0,524,25,74.5,424.5,0
KARNAL,2002,12,27.3,4.5,0,22,9,1,60.5,136.5,0,0,2.3,275,39.3,26.5,207,2.3
KARNAL,2003,6.5,31.1,9,0,10.1,29,187.4,83.8,36.9,0,0.7,16,410.5,37.6,19.1,337.1,16.7
KARNAL,2004,52.7,0,0,28.5,55.8,74.7,18,264,23,55.5,0,1.3,573.5,52.7,84.3,379.7,56.8
KARNAL,2005,38,39,18.3,0.5,23.2,52.4,74,61,194.3,0,0,0,500.6,77,42,381.6,0
KARNAL,2006,4.2,1.7,29.8,0,19.6,19.3,51.9,17.5,36.1,7.6,1.4,5.4,194.3,5.8,49.3,124.7,14.4
KARNAL,2007,6.1,156.8,58.8,0,11.1,84.3,102.4,98.4,99.5,0,0.4,0.5,618.2,163,69.8,384.6,0.9
KARNAL,2008,0.5,0.4,0,5.7,103.2,144.8,109.6,138.9,110.2,0,8.1,0,621.3,0.9,108.9,503.5,8.1
KARNAL,2009,13.8,5.2,1.5,18.7,17.4,9.3,150.8,36.7,258.7,0,0,0,512.1,19,37.7,455.5,0
KARNAL,2010,4.9,12.7,0.2,2.5,9.5,66.4,238.5,189.3,123.5,0,0,21.3,668.8,17.5,12.2,617.7,21.3
